GeneSymbol,log2FC,pvalue,mean_severe,mean_non_severe,fdr,direction
MIPEP,0.7116980952079599,0.00441216221260627,7.127252149753472,6.415554054545512,0.4429487615021118,up
ABCE1,0.546997097910765,0.0044124802633413104,9.080617275801524,8.533620177890759,0.4429487615021118,up
IMPAD1,0.40208901407333464,0.004426409585834861,8.690222671637292,8.288133657563957,0.4429487615021118,up
SNORD19B,0.46990546763387364,0.004430538646120993,9.027160923933044,8.55725545629917,0.4429487615021118,up
DTX3L,-0.801130472911229,0.004459930215242259,10.088937426088837,10.890067899000066,0.4429487615021118,down
RRBP1,0.7723504873399154,0.004464855215818868,8.494850885001757,7.722500397661841,0.4429487615021118,up
MAT2A,-0.37375776529177074,0.004484506156113827,9.974566628512953,10.348324393804724,0.4429487615021118,down
LOC152225,-1.8326557177713187,0.004510162995200971,2.220229614219222,4.052885331990541,0.4429487615021118,down
ARSD,-0.9011990626182005,0.004547679564582919,6.402312149533593,7.303511212151793,0.4429487615021118,down
TPSB2,-1.154394943561523,0.0045573829758120245,3.3663460640438485,4.520741007605372,0.4429487615021118,down
LOC100499489,-0.5986492923365176,0.0045789192126232765,5.6510741018873905,6.249723394223908,0.4429487615021118,down
RNF213,-0.6216692861370277,0.004581523772876097,11.158744865524664,11.780414151661692,0.4429487615021118,down
TMEM184B,0.5050731826635175,0.004613849242967245,8.589784411837574,8.084711229174056,0.4429487615021118,up
KLHL5,0.6130080971073557,0.004628065766789973,8.184255740379058,7.571247643271702,0.4429487615021118,up
C15orf57,0.3259979783717242,0.004644656730400326,8.38232085888264,8.056322880510915,0.4429487615021118,up
STK33,1.1618378428845335,0.004734876971136707,4.2057117759694735,3.04387393308494,0.4429487615021118,up
HLA-DRB1,-0.6897629947752382,0.004754940619649676,12.779569492050092,13.46933248682533,0.4429487615021118,down
SLC25A46,0.64543928907778,0.004756576616966463,9.899167937025217,9.253728647947437,0.4429487615021118,up
UBN1,-1.1745730546042443,0.004761536813354467,7.9202952415802175,9.094868296184462,0.4429487615021118,down
KIAA1841,-1.0064366748498115,0.004766909631712448,5.189921661053589,6.1963583359034,0.4429487615021118,down
CTH,1.2264094662243563,0.004768161599921987,5.899926582683187,4.6735171164588305,0.4429487615021118,up
LOC101060835,-0.7440031101669664,0.0047730325334005294,12.434200082769829,13.178203192936795,0.4429487615021118,down
MYH11,1.3586176824701415,0.00477396685886186,5.584843810410596,4.226226127940454,0.4429487615021118,up
TMEM229B,-1.2893315024414047,0.004776699130642329,6.079484147340558,7.368815649781963,0.4429487615021118,down
FCRL5,1.2948053695762525,0.004781310037976203,8.927695261873605,7.632889892297353,0.4429487615021118,up
LOC101929398,-0.56944731767548,0.004793202775645014,4.9230941531658035,5.492541470841283,0.4429487615021118,down
FAM127B,-1.4258431604460031,0.004797131671401818,3.831616901153437,5.25746006159944,0.4429487615021118,down
AKAP13,-0.746861789900338,0.004806070626081723,9.688880975723727,10.435742765624065,0.4429487615021118,down
FAM26F,-1.2692743514370104,0.004809953153645043,11.096032132690487,12.365306484127498,0.4429487615021118,down
ATF7IP2,0.6793667617873282,0.0048328463160155375,8.839985668542207,8.160618906754879,0.4429487615021118,up
RAB11FIP2,0.6823837125370922,0.004835251845001565,8.640005783290428,7.957622070753336,0.4429487615021118,up
FAM127A,-0.5655137626345628,0.00484417095765378,7.8969318712247105,8.462445633859273,0.4429487615021118,down
SIDT2,-0.885819030171243,0.004851682437316059,11.643446296535535,12.529265326706778,0.4429487615021118,down
ALG5,0.7438308640791558,0.004888019424850738,10.960465457195282,10.216634593116126,0.4429487615021118,up
ITGAL,-0.7101132926135971,0.004892548266012469,9.459129528668553,10.16924282128215,0.4429487615021118,down
SLC5A3,0.6489322267862434,0.004913293068233174,9.374672919340188,8.725740692553945,0.4429487615021118,up
ARHGAP27,-1.0026839627857207,0.004935602874023558,8.404664017132749,9.40734797991847,0.4429487615021118,down
GPSM3,-0.5970134528714555,0.004943060129538869,6.866545496647092,7.463558949518547,0.4429487615021118,down
GJB6,1.802988709308328,0.00495328101292552,3.298533294488526,1.4955445851801978,0.4429487615021118,up
SNX15,-0.5122285040702419,0.004959224562533719,7.093615339071799,7.605843843142041,0.4429487615021118,down
PRRG2,1.3768665669202642,0.004979168178438416,4.103517300050478,2.7266507331302137,0.4429487615021118,up
